objectid,abrevia,cod_linea,nom_ruta,orig_ruta,dest_ruta,dest_zona,fec_impl,loc_orig,loc_dest,long_ruta,oper_ruta,route_id,cod_ruta,zon_dest,zon_orig,hor_habil,hor_sab,hor_fest,est_ruta,tip_bus,campo,tip_operac,tip_serv,dias_oper,comp_sitp,tip_hor,tipo_oper,ruta_rural,globalid,horas_servicio,cluster_riesgo
2824,DDD,DK211,Gran Granada - Salitre El Greco,Salitre El Greco,Gran Granada,Engativa / Calle 80,18/07/2022,10,13,17.16506074,Este Es Mi Bus - Co,4167.0,D211-2,6.0,5,04:00-23:00,04:00-23:00,04:00-23:00,1,3.0,,2,3,3.0,,1,2,,{000B118D-B433-4B62-AA86-74F8CE254724},19.0,2
2825,GGG,GC509,Metrovivienda - Corpas,Corpas,Metrovivienda,Bosa,28/09/2020,7,11,27.90871061,Masivo Capital - Ke,3776.0,G509-2,3.0,9,04:00-23:00,04:00-23:00,04:00-23:00,1,3.0,,2,3,3.0,,1,2,,{00279D28-71A9-4309-8427-3FDB5F7B9AEF},19.0,2
2826,LLL,LG807,San Blas - Bosa Carbonell,Bosa Carbonell,San Blas,San Cristobal,4/09/2023,4,7,17.83481988,Consorcio Express D,3722.0,L807-1,9.0,13,03:00-22:00,03:00-22:00,03:00-22:00,1,4.0,,2,3,3.0,,1,2,,{008CEC66-A785-4154-BF28-8AED90636E2C},19.0,2
2827,SCR,614,Bolonia Usme - Montevideo,Montevideo,Bolonia Usme,San Cristobal,17/06/2024,5,9,27.40270511,Gmovil - E,3060.0,614-2,6.0,12,03:30 - 22:00 - 03:30 - 23:00,03:30 - 22:00 - 03:30 - 23:00,03:30 - 22:00 - 03:30 - 23:00,1,4.0,,2,3,3.0,,1,2,,{00FAEF23-9B6D-4C87-8AFC-8C8DE1A44018},18.5,2
2828,101,DL81,D81Cv,Portal 20 De Julio,Puente De Guadua,Calle 80,-,4,10,24.90402426,No Aplica,,D81CV,4.0,13,0,0,06:00 - 14:00,1,3.0,,1,2,4.0,,1,1,,{01148D54-BA95-447D-ABF9-5D9C78CE7196},0.0,3
2829,CCC,HD630,Arborizadora Alta -  Morato,Arborizadora Alta,Morato,Suba,17/04/2023,19,11,25.2572514,Odt La Rolita,4287.0,D630-1,3.0,11,03:00-21:00,03:00-21:00,03:00-21:00,1,4.0,,2,3,3.0,,1,2,,{01C76321-F0BF-419D-BD04-AC9F2B1188AD},18.0,2
2830,91,BG46,B46,San Mateo - Cc Unisur,Portal Norte,Usaquen,-,21,1,31.22707888,No Aplica,,B46,1.0,9,4:00-9:00/15:00-20:0,4:00-9:00/15:00-20:0,0,1,2.0,,1,1,2.0,,2,1,,{02DC0A27-BD75-4611-B2B3-30A8C9FA6AB1},10.0,2
2831,NOR,T11,Alpes - Calle 222,Alpes,Calle 222,Norte,22/11/2014,19,11,44.6967368,Masivo Capital So-Suma,4018.0,T11-1,2.0,11,03:56-23:00,03:56-23:00,03:56-23:00,1,3.0,,2,3,3.0,,1,2,,{03A71515-2CFA-43C2-9E55-A80DAB64B426},19.07,0
2832,AAA,GA516,Portal Sur - Chapinero,Portal Sur,Chapinero,Neutra,2/09/2024,8,13,19.72032227,ETIB Bo,,A516-1,0.0,9,04:00-23:00,04:00-23:00,04:00-23:00,1,4.0,,2,3,3.0,,1,2,,{03D77CEE-9FFA-4837-8AF9-6B37B82560EF},19.0,2
2833,AAA,HA618,Santo Domingo - Germania,Santo Domingo,Germania,Neutra,10/12/2022,19,3,19.42062678,Odt La Rolita,3698.0,A618-1,0.0,10,04:00-23:00,04:00-23:00,04:00-23:00,1,4.0,,2,3,3.0,,1,2,,{0467B1A8-B53F-41B0-A085-721E00C113E7},19.0,2
2834,BBB,HB907,Terminal Norte - Usme Centro,Usme Centro,Terminal Norte,Usaquen,12/04/2021,1,5,42.9088917,Consorcio Express N,3717.0,B907-2,12.0,1,03:30 - 21:00 - 03:00 - 21:00,03:30 - 21:00 - 03:00 - 21:00,03:30 - 21:00 - 03:00 - 21:00,1,3.0,,2,3,3.0,,1,2,,{04DA7ABB-9B01-4406-A310-7D90DCE4E09B},17.5,0
2835,ALI,1-8,Calle 80,Portal 80,Calle 80,Alimentadora,-,10,10,5.99250205,Este Es Mi Bus - Co,2991.0,1-8a,4.0,4,04:30:00 - 24:30:00,04:30:00 - 24:30:00,04:30:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{05F5BA89-93A7-41C1-8889-95987349ABB4},0.0,3
2836,68,BG12,G12Gs,Portal Norte,General Santander,Usme/ Ciudad Bolivar,-,1,15,22.24982201,No Aplica,,G12GS,10.0,1,05:00 - 07:00,0,0,1,2.0,,1,1,1.0,,3,1,,{06125234-061A-479C-BE79-D8A9188ABD1F},2.0,3
2837,ALI,3-10,Usme Centro,Portal Usme,Usme Centro,Alimentadora,-,5,5,19.29649208,E-Somos Alimentacion,3746.0,3-10a,12.0,12,04:00:00 - 24:30:00,04:00:00 - 24:30:00,04:00:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{06283CE4-553A-42DA-8658-07FEF05E5E0A},0.0,3
2838,BOS,580,Bosa San Jose - Est. Bicentenario,Est. Bicentenario,Bosa San Jose,Bosa,17/03/2025,7,17,,Etib - Bo,3166.0,580-2,13.0,9,04:00-23:00,04:00-23:00,04:00-23:00,1,3.0,,2,3,3.0,,1,2,,{063A8365-34CE-4684-9065-6A8929E5FD7E},19.0,1
2839,ALI,8-6,Timiza,Banderas,Timiza,Alimentadora,-,8,8,9.92350087,Masivo Capital - Ke,2931.0,8-6a,8.0,8,04:00:00 - 24:20:00,04:00:00 - 24:20:00,04:00:00 - 24:20:00,1,3.0,,2,4,3.0,,1,2,,{063AC933-0317-49BB-A03D-4F296208F28E},0.0,3
2840,CEN,579,El Recreo - Marly,El Recreo,Marly,Centro,11/05/2013,7,3,48.468669,Masivo Capital - Ke,4422.0,579-3,0.0,8,04:00-23:00,04:00-23:00,04:00-23:00,1,3.0,,2,3,3.0,,1,2,,{06C63E8C-4AD9-488C-AFEF-9369C7B812F3},19.0,0
